date,water_area_uncorrected,non_water_area,cloud_area,unfiltered_area,cloud_percent,QUALITY_DESCRIPTION,sat,filtered_area,corrected_areas_1,corrected_trend_1,sar_trend,days_passed,area
2019-01-26,114.85008068297655,80.83966650278293,1.293826283071816,115.2079463149956,0.6568193785338847,0.0,s2,115.2079463149956,115.2079463149956,1.059729516864639,-0.04838853758170103,4.0,115.2079463149956
2019-01-31,96.80283166985652,80.94469516922327,19.236046629751712,114.0075808586154,9.76530493939659,0.0,s2,114.0075808586154,114.0075808586154,-0.24007309127603946,-0.1935541503267956,5.0,114.0075808586154
2019-02-05,113.83778112126606,81.7328618823848,1.4129304651806056,114.34746788190114,0.7172833959193924,0.0,s2,114.34746788190114,114.34746788190114,0.0679774046571481,-0.19355415032679843,5.0,114.34746788190114
2019-02-07,91.3459498483116,89.86642900349712,15.771194617022722,106.40771418089216,8.006350143464214,0.0,l8,106.40771418089216,106.40771418089216,-3.969876850504491,-0.24547263071895742,2.0,106.40771418089216
2019-02-10,114.29043719779676,80.53662296505833,2.156513305976332,,1.0947680905573356,0.0,s2,,,,-0.2973911111111107,3.0,105.51554084755882
2019-02-15,113.34299144030676,82.86803216287639,0.77254986564821,,0.3921899943451124,0.0,s2,,,,-0.29739111111111355,5.0,104.02858529200326
2019-02-20,112.69968010563316,82.09140621499206,2.192487148206264,,1.1130304469540853,0.0,s2,,,,-0.22254952941176498,5.0,102.91583764494443
2019-02-23,95.44132955572915,89.5872346540771,11.955009259025069,105.93342040814616,6.069038675916146,0.0,l8,105.93342040814616,105.93342040814616,-0.029643360796624663,-0.110287156862744,3.0,105.93342040814616
2019-02-25,113.13257166731256,82.99624510518215,0.8547566963367462,,0.43392282985057823,0.0,s2,,,,-0.11028715686274637,2.0,105.71284609442067
2019-03-02,112.1485807660064,84.01789847829002,0.8170942245349287,,0.41480322960239996,0.0,s2,,,,-0.11028715686274496,5.0,105.16141031010694
2019-03-07,0.0,0.0,,,100.0,0.0,s2,,,,-0.9147398039215687,5.0,100.5877112904991
2019-03-11,103.12789082879446,92.11972458316788,1.7359580568691193,,0.881270466516234,0.0,l8,,,,-0.9147398039215666,4.0,96.92875207481283
2019-03-12,0.0,0.0,,,100.0,0.0,s2,,,,-0.9147398039215631,1.0,96.01401227089127
2019-03-17,59.26324211932373,136.96851552249444,0.7518158270129561,,0.38166422396226685,0.0,s2,,,,-0.10137654901960787,5.0,95.50712952579323
2019-03-22,69.89062863346162,62.28451816653771,64.80842666883225,,32.90042186136236,0.0,s2,,,,0.4408656209150337,5.0,97.7114576303684
2019-03-27,87.59262631690673,108.23564681164744,1.1553003402773738,,0.5864957772533127,0.0,l8,,,,0.37193597385621047,5.0,99.57113749964945
2019-04-01,42.91843679144287,119.08855503913028,34.97658163825846,,17.756090531981716,0.0,s2,,,,0.09621738562091195,5.0,100.05222442775401
2019-04-06,67.03339286413573,116.0641892602431,13.8859913444525,,7.049314366636605,0.0,s2,,,,0.0962173856209148,5.0,100.53331135585859
